scholar_index,name_letters,name_arabic,grade,birth_greg,death_greg,places_of_stay,students_index,teachers_index
11633,Talha bin Yazid al-Ayly,طلحة بن يزيد الأيلي,Follower(Tabi') [3rd Generation],0,0,"Kufa, Nisa'",11381,"145, 19320, 384"
11634,'Abdullah bin Ziyad,عبد الله بن زياد أبو مريم الأسدي,Follower(Tabi') [3rd Generation],0,0,al-Kufa,"11371, 11324, 15238","25, 16, 30"
11635,'Abdullah bin Sa'id bin Jubayr,عبد الله بن سعيد بن جبير,Follower(Tabi') [6th generation],0,0,Kufa,11015,11050
11636,'Abdullah bin Abi al-Safar,عبد الله بن أبي السفر,Follower(Tabi') [6th generation],0,622,"Hamadan,  al-Kufa","20020, 11643, 10846, 20347, 20012, 20587","11348, 11901, 11052, 10658, 15008"
11637,"'Abdur Rahman bin Thrawan, Abu Qays",عبد الرحمن بن ثروان أبو قيس الأودي,Follower(Tabi') [6th generation],0,739,al-Kufa,"11060, 11049, 18897, 10957, 11718, 20020, 20012, 20021","14457, 11174, 11382, 11023"
11638,'Abdur Rahman bin 'Abis al-Nakha'i,عبد الرحمن بن عابس النخعي,Follower(Tabi') [4th generation],0,738,al-Kufa,"20012, 20020, 20580, 25246","11357, 17, 5395, 11196, 11901"
11639,'Abdul Malik bin Sa'id,عبد الملك بن سعيد بن جبير الأسدي,Follower(Tabi') [6th generation],0,0,al-Kufa,,"11050, 11023"
11640,'Uthman bin al-Mughira al-Thqfy,عثمان بن المغيرة الثقفي مولاهم أبو المغي,Follower(Tabi') [6th generation],0,0,al-Kufa,"20020, 20311, 20012, 20587, 20359, 25246, 20469","11341, 15677, 17004, 11342, 11376, 11028, 19342"
11641,'Urwa bin al-Harith,عروة بن الحارث,Follower(Tabi') [5th generation],0,0,"Hamadan, al-Kufa","11060, 11289, 20012, 20005, 20028, 20468","11196, 11052, 11392, 10535, 19031, 11406"
11642,'Umar bin Dhar bin 'Abdullah al-Hamdani,عمر بن ذر بن عبد الله بن زرارة,Follower(Tabi') [6th generation],0,771,"Hamadan, al-Kufa","20577, 11001, 20005, 20372, 20118, 20032, 20330, 20025, 20411, 20348, 20191, 20241","11423, 11050, 11353, 19164, 11028, 11010"
11643,'Umar bin Abi Za'id'h,عمر بن أبي زائدة الهمداني,Follower(Tabi') [6th generation],0,0,"Hamadan, al-Kufa","20366, 20214, 20650, 20033, 20443, 20291, 20410, 20468, 20245, 20282, 20556, 20241, 20296","11046, 11636, 11383, 11049, 11052, 11023"
11644,"'Amr bin Sharhbayl, Abu Maysara",عمرو بن شرحبيل الهمداني أبو ميسرة الكوفي,Follower(Tabi') [1st Generation],0,684,"Hamadan, al-Kufa","11353, 11049, 10812, 11388, 11018","3, 5, 16, 145, 172, 3121, 53, 274"
11645,'Amr bin 'Uthman bin 'Abdullah bin Muhab,عمرو بن عثمان بن عبد الله بن موهب,Follower(Tabi') [6th generation],0,0,al-Kufa,"20320, 20012, 30212, 20330, 20031, 20032, 20416, 20005, 20340, 20348","11524, 579, 15150, 11010"
11646,'Umayr bin Sa'id al-Nakha'i,عمير بن سعيد النخعي الصهباني,Follower(Tabi') [3rd Generation],0,741,Kufa,"11052, 11049, 11060, 11371, 11336, 11356, 11395, 11718","5, 41, 9, 16, 30, 11017, 11018"
11647,al-'Ala' bin al-Msyb bin Rafa'i ا,لعلاء بن المسيب بن رافع,Follower(Tabi') [6th generation],0,0,al-Kufa,"20256, 20321, 11613, 20317, 20028, 20329, 20356, 20201, 28603, 20366","11394, 11023, 11029, 11381, 10810, 11069, 11173, 11352"
11648,al-Qasim bin 'Abdur Rahman ا,لقاسم بن عبد الرحمن بن عبد الله,Follower(Tabi') [4th generation],0,739,al-Kufa,"20360, 20342",11363
11649,Muhammad bin 'Ubaidullah bin Sa'id,محمد بن عبيد الله بن سعيد أبو عون الثقفي,Follower(Tabi') [4th generation],0,729,al-Kufa,"11060, 11001, 11387, 20724, 20605, 20020, 20012, 15653","15346, 11263, 393, 713, 18145, 11050, 169, 15374, 11196, 10790, 15229, 11402"
