scholar_index,name_letters,name_arabic,grade,birth_greg,death_greg,places_of_stay,students_index,teachers_index
28857,Abu K'ab,أبو كعب,Succ. (Taba' Tabi'),0,622,,,
28858,Abu Shar Rjl,أبو صحار,Succ. (Taba' Tabi'),0,0,,,
28859,Abu 'Ubaidullah,أبو عبيد الله,Succ. (Taba' Tabi'),0,0,,,
28860,Abu Ghsan,أبو غسان,Succ. (Taba' Tabi'),0,0,,,
28861,Abu Talb,أبو طالب,Succ. (Taba' Tabi'),0,0,,,
28862,Abu 'Asim al-Tmar,أبو عاصم التمار,Succ. (Taba' Tabi'),0,0,,,
28863,Abu Suwayd bin al-Mughira,أبو سويد,Succ. (Taba' Tabi'),0,0,,,
28864,Abu al-Hjaj Shykh,أبو الحجاج,Succ. (Taba' Tabi'),0,0,,,
28865,Abu 'Abdullah al-Nzy,أبو عبد الله العنزي,Succ. (Taba' Tabi'),0,0,,,
28866,Abu Qbys'h,أبو قبيصة,Succ. (Taba' Tabi'),0,0,,,
28867,Abu 'Abdullah al-Khyat,أبو عبد الله الخياط,Succ. (Taba' Tabi'),0,0,,,
28868,Abu Wasl al-Tmymy,أبو واصل,Succ. (Taba' Tabi'),0,0,,,
28869,Abu Nhshl,أبو نهشل,Succ. (Taba' Tabi'),0,0,,,
28870,Abu 'Ubaid'h bin Naf',أبو عبيدة بن نافع,Succ. (Taba' Tabi'),0,0,,,
28871,Abu Adhbh,أبو عذبة,Succ. (Taba' Tabi'),0,0,al-Syria,,
28872,Abu Musa,أبو موسى,Succ. (Taba' Tabi'),0,0,,,
28873,Abu al-N'uman,أبو النعمان,Succ. (Taba' Tabi'),0,0,,,
28874,Abu Ma'n,أبو معن,Succ. (Taba' Tabi'),0,0,,,
28875,Abu Ma'mr al-Sraj,أبو معمر السراج,Succ. (Taba' Tabi'),0,0,,,
28876,Abu al-Mu'ml,أبو المؤمل,Succ. (Taba' Tabi'),0,0,al-Syria,,
28877,Abu al-Nadr al-Mazny,أبو النضر المازني,Succ. (Taba' Tabi'),0,0,,,
28878,Abu al-Wsym,أبو الوسيم,Succ. (Taba' Tabi'),0,0,,,
28879,Abu 'Abdullah,أبو عبد الله,Succ. (Taba' Tabi'),0,0,,,
28880,Abu Waqd,أبو واقد,Succ. (Taba' Tabi'),0,0,,,
28881,Abu Ma'mr al-Tmymy,أبو معمر التميمي,Succ. (Taba' Tabi'),0,0,,,
28882,Abu Mdr,أبو مضر,Succ. (Taba' Tabi'),0,0,,,
28883,Abu Abd al-Jlyl,أبو عبد الجليل,Succ. (Taba' Tabi'),0,0,,,
28884,Abu Nwh,أبو نوح,Succ. (Taba' Tabi'),0,0,,,
28885,Abu Suh'aib Shykh,أبو شعيب,Succ. (Taba' Tabi'),0,0,,,
28886,Abu Yusuf al-Mka,أبو يوسف المكي,Succ. (Taba' Tabi'),0,0,Makkah,,
28887,Abu 'Abdullah al-Fra'a,أبو عبد الله الفراء,Succ. (Taba' Tabi'),0,0,,,
28888,Abu al-Wadayn,أبو الوضين,Succ. (Taba' Tabi'),0,0,,,
28889,Abu al-Hdaj,أبو الهداج,Succ. (Taba' Tabi'),0,0,,,
28890,Abu Bhr,أبو بحر,Succ. (Taba' Tabi'),0,0,,,
28891,Abu Asam al-Azdy,أبو عصام الأزدي,Succ. (Taba' Tabi'),0,0,,,
28892,Abu al-Hythm,أبو الهيثم,Succ. (Taba' Tabi'),0,0,,,
28893,Abu 'Abdullah,أبو عبد الله,Succ. (Taba' Tabi'),0,0,al-Mada'in,,
28894,Abu Hnyd'h,أبو هنيدة,Succ. (Taba' Tabi'),0,0,,,
28895,Abu al-Ys' al-Mkfwf,أبو اليسع المكفوف,Succ. (Taba' Tabi'),0,0,,,
28896,Abu Y'aqub Mwla S'aid bin al-'As,أبو يعقوب مولى,Succ. (Taba' Tabi'),0,0,,,
28897,Abu Qays,أبو قيس,Succ. (Taba' Tabi'),0,0,,,
28898,Abu Ysar Qwlh,أبو يسار قوله,Succ. (Taba' Tabi'),0,0,,,
29001,'Unbasa bin Sa'id bin Aban bin Sa'id,عنبسة بن سعيد بن أبان بن سعيد,Succ. (Taba' Tabi'),0,622,"al-Kufa, Baghdad",30254,
29002,'Abdullah bin Sa'id bin Aban bin Sa'id,عبد الله بن سعيد بن أبان بن سعيد,Succ. (Taba' Tabi'),0,0,"al-Kufa, Baghdad",,11010
29003,Muhammad bin Sa'id bin Aban bin Sa'id,محمد بن سعيد بن أبان بن سعيد,Succ. (Taba' Tabi'),0,622,"al-Kufa, Baghdad",,
29005,'Abdullah bin al-Harith bin 'Abdullah,عبد الله بن الحارث بن عبد الله,Succ. (Taba' Tabi'),0,0,Medina,20701,
29010,Salah bin 'Ubaidullah bin Abi Rafi',صالح بن عبيد الله بن أبي رافع,Succ. (Taba' Tabi'),0,0,Medina,29012,11199
29011,Ja'far bin 'Ubaidullah bin Abi Rafi',جعفر بن عبيد الله بن أبي رافع,Succ. (Taba' Tabi'),0,0,Medina,,11199
29012,Rabah bin Salah bin 'Ubaidullah,رباح بن صالح بن عبيد الله بن أبي رافع,Succ. (Taba' Tabi'),0,0,Medina,29012,29010
29100,Ahmed bin Musa al-Basri Abu,أحمد بن موسى البصري,Succ. (Taba' Tabi'),0,0,al-Basra,,
29101,Ibrahim bin Malik bin al-Harith إ,براهيم بن مالك,Succ. (Taba' Tabi'),0,0,,,
29102,Ibrahim bin Muhammad bin Shrhbyl إ,براهيم بن محمد بن شرحبيل,Succ. (Taba' Tabi'),0,0,Medina,,
29103,Ibrahim bin 'Abdullah bin Zayd إ,براهيم بن عبد الله بن زيد,Succ. (Taba' Tabi'),0,0,Medina,,
29104,Ibrahim bin 'Umayrh إ,براهيم بن عميرة,Succ. (Taba' Tabi'),0,0,Kufa,,
29105,Ibrahim bin al-'Asfh Mu'dhn Ahl إ,براهيم بن الأصفح,Succ. (Taba' Tabi'),0,0,Medina,,
29106,Ibrahim bin Ziyad Shykh إ,براهيم بن زياد,Succ. (Taba' Tabi'),0,0,,,
29107,Ibrahim Abu al-Husain Shykh إ,براهيم أبو الحصين,Succ. (Taba' Tabi'),0,0,Syria,,
29108,Ibrahim bin 'Uqba Shykh إ,براهيم بن عقبة,Succ. (Taba' Tabi'),0,0,,,
29109,Ibrahim bin Ishaq Shykh إ,براهيم بن إسحاق,Succ. (Taba' Tabi'),0,0,,,
29110,Ibrahim bin Hyan Shykh إ,براهيم بن حيان,Succ. (Taba' Tabi'),0,0,,,
29111,Ibrahim bin Abi Bkyr Knyt'h إ,براهيم بن أبي بكير,Succ. (Taba' Tabi'),0,0,,,
29112,Ibrahim bin Shryh إ,براهيم بن شريح,Succ. (Taba' Tabi'),0,0,,,
29113,Ibrahim bin 'Abdullah bin Hasan إ,براهيم بن عبد الله بن حسن,Succ. (Taba' Tabi'),0,0,,,
29114,Ibrahim bin S'ad bin Kathir إ,براهيم بن سعد بن كثير,Succ. (Taba' Tabi'),0,0,"al-Basra, al-Medina",,
29115,Ibrahim bin Maymun Abu Ishaq إ,براهيم بن ميمون أبو إسحاق الخياط,Succ. (Taba' Tabi'),0,0,,"25246, 20005, 20032",
29116,Ibrahim bin Musa al-Mky إ,براهيم بن موسى المكي,Succ. (Taba' Tabi'),0,0,"Makkah, Damascus",,
29117,Ibrahim bin 'Abdur Rahman bin al-Harith إ,براهيم بن عبد الرحمن بن الحارث,Succ. (Taba' Tabi'),0,0,Medina,,
29118,Ibrahim bin Safwan al-Haritha إ,براهيم بن صفوان,Succ. (Taba' Tabi'),0,0,,,
29119,Ibrahim bin Ady Shykh إ,براهيم بن عدي,Succ. (Taba' Tabi'),0,0,Kufa,,
29120,Ibrahim bin 'Isa al-Yshkry إ,براهيم بن عيسى اليشكري,Succ. (Taba' Tabi'),0,0,,,
29121,Ibrahim bin Mharb bin Dthar إ,براهيم بن محارب,Succ. (Taba' Tabi'),0,0,,,
29122,Ibrahim bin Isma'il Q'ys al-Dhy إ,براهيم بن إسماعيل قعيس,Succ. (Taba' Tabi'),0,0,,,
29123,Ibrahim bin Muslim إ,براهيم بن مسلم,Succ. (Taba' Tabi'),0,0,Yemen,,
29124,Ibrahim bin N'ym al-Kahly إ,براهيم بن نعيم الكاهلي,Succ. (Taba' Tabi'),0,0,Kufa,,
29125,Ibrahim bin al-Mughira Wqd Qyl إ,براهيم بن المغيرة,Succ. (Taba' Tabi'),0,0,Medina,,
29126,Ibrahim bin Yazid إ,براهيم بن يزيد,Succ. (Taba' Tabi'),0,0,,,
29127,Ibrahim bin al-Mughira al-Mrwzy Khtn إ,براهيم بن المغيرة المروزي,Succ. (Taba' Tabi'),0,0,,,
29128,Isma'il bin Ibrahim al-Awdy إ,سماعيل بن إبراهيم الأودي,Succ. (Taba' Tabi'),0,0,,,
29129,Isma'il bin Ibrahim إ,سماعيل بن إبراهيم,Succ. (Taba' Tabi'),0,0,,,
29130,Isma'il bin Abi S'aid al-Sn'any إ,سماعيل بن أبي سعيد الصنعاني,Succ. (Taba' Tabi'),0,0,Sana',,
29131,Isma'il bin al-Q'qa' إ,سماعيل بن القعقاع,Succ. (Taba' Tabi'),0,0,Medina,,
29132,Isma'il al-Bjly Kwfy إ,سماعيل البجلي كوفي,Succ. (Taba' Tabi'),0,0,Kufa,,
29133,Isma'il Abu S'aid al-Madni Khal إ,سماعيل أبو سعيد المدني,Succ. (Taba' Tabi'),0,0,Medina,,
29134,Isma'il bin Ysar Mwla biny إ,سماعيل بن يسار,Succ. (Taba' Tabi'),0,0,Medina,,
29135,Isma'il bin Ibrahim bin 'Aabad إ,سماعيل بن إبراهيم بن عباد,Succ. (Taba' Tabi'),0,0,,,
29136,Isma'il bin Abi Ziyad Shykh إ,سماعيل بن أبي زياد,Succ. (Taba' Tabi'),0,0,,,
29137,Isma'il bin 'Abdullah al-Qst إ,سماعيل بن عبد الله القسط,Succ. (Taba' Tabi'),0,0,,,
29138,Isma'il bin Thwban إ,سماعيل بن ثوبان,Succ. (Taba' Tabi'),0,0,,,
29139,Isma'il bin 'Ubaidullah Knyt'h إ,سماعيل بن عبيد الله كنيته,Succ. (Taba' Tabi'),0,0,,,
29140,Isma'il bin 'Abdur Rahman Shykh إ,سماعيل بن عبد الرحمن,Succ. (Taba' Tabi'),0,0,,,
29141,Ishaq bin 'Abdullah bin Jabir إ,سحاق بن عبد الله بن جابر,Succ. (Taba' Tabi'),0,0,,,
29142,Ishaq bin 'Umar إ,سحاق بن عمر,Succ. (Taba' Tabi'),0,0,,,
29143,Ishaq bin Khalid Shykh إ,سحاق بن خالد,Succ. (Taba' Tabi'),0,0,,,
29144,Ishaq bin Shrqy إ,سحاق بن شرقي,Succ. (Taba' Tabi'),0,0,,,
29145,Ishaq bin Ibrahim Abu al-Nadr إ,سحاق بن إبراهيم أبو النضر,Succ. (Taba' Tabi'),0,0,Damascus,,
29146,Ishaq bin Ibrahim Shykh إ,سحاق بن إبراهيم,Succ. (Taba' Tabi'),0,0,,,
29147,Ishaq bin Muhammad bin Aba إ,سحاق بن محمد بن أبي,Succ. (Taba' Tabi'),0,0,,,
29148,Ayoub bin Mrthd,أيوب بن مرثد,Succ. (Taba' Tabi'),0,0,,,
29149,Ayoub bin Tmym al-Qara'a,أيوب بن تميم,Succ. (Taba' Tabi'),0,0,"al-Syria, Damascus",,
29150,Ayoub bin Abi al-'Alih,أيوب بن أبي العالية,Succ. (Taba' Tabi'),0,0,Egypt,,
29151,al-'Aswad bin Abi al-'Aswad Akhw ا,لأسود بن أبي الأسود,Succ. (Taba' Tabi'),0,0,Kufa,,
29152,al-'Aswad Shykh ا,لأسود,Succ. (Taba' Tabi'),0,0,,,
29153,Aban bin Kathir al-Mktb,أبان بن كثير,Succ. (Taba' Tabi'),0,0,,,
29154,al-Azhar Shykh ا,لأزهر,Succ. (Taba' Tabi'),0,0,Kufa,,
29155,al-Azhar Shykh ا,لأزهر,Succ. (Taba' Tabi'),0,0,,,
29156,Asyd bin Shbrmh al-Mazny,أسيد بن شبرمة,Succ. (Taba' Tabi'),0,0,Antioch,,
29157,Usamah Jar Lsh'bh,أسامة جار,Succ. (Taba' Tabi'),0,0,,,
29158,Aslm,أسلم,Succ. (Taba' Tabi'),0,0,,,
29159,al-Ahnf ا,لأحنف,Succ. (Taba' Tabi'),0,0,,,
29160,al-Ahnf Mwla Aal Abi al-Ma'la ا,لأحنف مولى,Succ. (Taba' Tabi'),0,0,,,
29161,Idrys Shykh إ,دريس,Succ. (Taba' Tabi'),0,0,,,
29162,Idrys Shykh إ,دريس,Succ. (Taba' Tabi'),0,0,,,
29163,al-A'sha bin 'Abdur Rahman bin Mkml ا,لأعشي بن,Succ. (Taba' Tabi'),0,0,,,
29164,Aadm Abu al-Jhm Sahb al-Krabys آ,دم أبو,Succ. (Taba' Tabi'),0,0,al-Basra,,
29165,Ashrs bin S'hyb Mwla Sa'id,أشرس بن صهيب,Succ. (Taba' Tabi'),0,0,,,
29166,Ashrs bin Kysan al-'Asady,أشرس بن كيسان,Succ. (Taba' Tabi'),0,0,,,
29167,A'yn Abu 'Abdullah al-Hnat,أعين أبو عبد,Succ. (Taba' Tabi'),0,0,,,
29168,As'hb al-Db'y,أسهب الضبعي,Succ. (Taba' Tabi'),0,0,al-Basra,,
29169,Ubaid bin al-Aghr bin al-Sbah,أبيض بن الأغر,Succ. (Taba' Tabi'),0,0,,,
29170,Asad bin Abd'h al-Bjly,أسد بن عبدة,Succ. (Taba' Tabi'),0,0,,,
29171,al-'Aswr bin 'Abdur Rahman ا,لأسور بن,Succ. (Taba' Tabi'),0,0,,,
29172,al-A'jf bin Rzyn ا,لأعجف بن,Succ. (Taba' Tabi'),0,0,,,
29173,Athal bin Qrh,أثال بن قرة,Succ. (Taba' Tabi'),0,0,,,
29174,Adhynh bint 'Alibh Trwa An,أذينة بنت,Succ. (Taba' Tabi'),0,0,,,
29175,Bilal bin Wahub bin Kysan,بلال بن وهب,Succ. (Taba' Tabi'),0,0,,,
29176,Bilal Mwla bin Abi Atyq,بلال مولى,Succ. (Taba' Tabi'),0,0,Medina,,
29177,Bashr bin Dryd,بشر بن دريد,Succ. (Taba' Tabi'),0,0,,,
29178,Bashr bin Mjahd Shykh,بشر بن مجاهد,Succ. (Taba' Tabi'),0,0,al-Syria,,
29179,Bashr al-Afwh Bsra,بشر الأفوه,Succ. (Taba' Tabi'),0,0,"Basra, al-Wasit",,
29180,Bashr bin 'Umayr bin Kathir,بشر بن عمير,Succ. (Taba' Tabi'),0,0,,,
29181,Bashr bin Ubaid,بشر بن عبيد,Succ. (Taba' Tabi'),0,0,,,
29182,Bashr bin Sba',بشر بن سباع,Succ. (Taba' Tabi'),0,0,,,
29183,Bashr bin 'Abdul Malik al-Tby,بشر بن عبد الملك,Succ. (Taba' Tabi'),0,0,Medina,,
29184,Bashyr bin Hlys,بشير بن حليس,Succ. (Taba' Tabi'),0,0,,,
29197,al-Bra'a bin Abi Nadrh Akhw ا,لبراء بن أبي,Succ. (Taba' Tabi'),0,0,,,
29198,al-Bra'a bin Salman al-Dby Wqd ا,لبراء بن سلمان,Succ. (Taba' Tabi'),0,0,,,
29199,Bhr bin Msyk,بحر بن مسيك,Succ. (Taba' Tabi'),0,0,Syria,,
29200,Bzy' al-Dryr,بزيع الضرير,Succ. (Taba' Tabi'),0,0,,,
29201,al-Bkhtra bin Mukhtar al-Bdy ا,لبختري بن مختار,Succ. (Taba' Tabi'),0,766,,,
29202,al-Bkhtra bin Yazid bin Harithh ا,لبختري بن يزيد,Succ. (Taba' Tabi'),0,0,Medina,,
29203,Bdr bin Khlyl al-'Asady,بدر بن خليل,Succ. (Taba' Tabi'),0,0,Kufa,,
29204,Bdr bin Hwyzh,بدر بن حويزة,Succ. (Taba' Tabi'),0,0,,,
29205,Bdyl bin Shdad Shykh,بديل بن شداد,Succ. (Taba' Tabi'),0,0,,,
29206,Bdyl bin al-Wdah,بديل بن الوضاح,Succ. (Taba' Tabi'),0,0,Kufa,,
29207,Byhs al-Bahla,بيهس الباهلي,Succ. (Taba' Tabi'),0,0,,,
29208,Brk'h al-Azdy,بركة الأزدي,Succ. (Taba' Tabi'),0,0,al-Syria,,
29209,Balj bin Iyas Abu Sakhr,بلج بن إياس,Succ. (Taba' Tabi'),0,0,Merv,,
29210,Blht bin 'Aabad,بلهط بن,Succ. (Taba' Tabi'),0,0,,,
29211,Twbh bin S'ad al-Mrwzy,توبة بن سعد,Succ. (Taba' Tabi'),0,795,,,
29212,Tmym bin 'Abdur Rahman,تميم بن عبد الرحمن,Succ. (Taba' Tabi'),0,0,Yemen,,
29213,Tmym bin Khlf,تميم بن خلف,Succ. (Taba' Tabi'),0,0,,,
29214,Tmym bin Nmr,تميم بن نمر,Succ. (Taba' Tabi'),0,0,Egypt,,
29215,Thabit bin Qays,ثابت بن قيس,Succ. (Taba' Tabi'),0,0,Alexandria,,
29216,Thabit bin Thabit bin Abd,ثابت بن ثابت,Succ. (Taba' Tabi'),0,773,Medina,,
29217,Thabit bin al-Ljlaj al-Klaby,ثابت بن اللجلاج,Succ. (Taba' Tabi'),0,0,,,
29218,Thabit al-Sa'dy,ثابت السعدي,Succ. (Taba' Tabi'),0,0,al-Basra,,
29219,Thmamh bin Bjad Rjl,ثمامة بن بجاد رجل,Succ. (Taba' Tabi'),0,0,,,
29220,Thwabh bin Rafa'y,ثوابة بن رافع,Succ. (Taba' Tabi'),0,0,,,
29221,Thwabh bin Awn al-Tnwkhy,ثوابة بن عون,Succ. (Taba' Tabi'),0,0,Hims,,
29222,Ja'far bin Zayd al-Bdy,جعفر بن زيد العبدي,Succ. (Taba' Tabi'),0,0,al-Basra,,
29223,Ja'far bin 'Abdur Rahman,جعفر بن عبد الرحمن,Succ. (Taba' Tabi'),0,0,,,
29224,Ja'far bin Abi Thrwan al-Haritha,جعفر بن أبي ثروان,Succ. (Taba' Tabi'),0,0,,,
29225,Ja'far bin Abi Kathir al-Ansari,جعفر بن أبي كثير الأنصاري,Succ. (Taba' Tabi'),0,0,Medina,,
29226,Ja'far bin Abi Kathir Shykh,جعفر بن أبي كثير,Succ. (Taba' Tabi'),0,0,al-Basra,,
29227,Jabir bin S'ad al-Du'ly al-Knany,جابر بن سعد,Succ. (Taba' Tabi'),0,0,,,
29228,Jmyl Shykh,جميل,Succ. (Taba' Tabi'),0,0,,,
29229,Jmyl bin Bashr al-Mzny,جميل بن بشر,Succ. (Taba' Tabi'),0,0,,,
29230,Jblh Shykh,جبلة,Succ. (Taba' Tabi'),0,0,,,
29231,Jndb Shykh,جندب,Succ. (Taba' Tabi'),0,0,,,
29232,al-Jrah bin 'Abdullah Shykh ا,لجراح بن عبد الله,Succ. (Taba' Tabi'),0,0,al-Syria,,
29233,Jhm bin al-Harith bin al-Frat,جهم بن الحارث,Succ. (Taba' Tabi'),0,0,Kufa,,
29234,J'yd bin 'Abdur Rahman bin Aws,جعيد بن,Succ. (Taba' Tabi'),0,0,Medina,,
29235,Jam' bin Rashid Kwfa,جامع بن راشد,Succ. (Taba' Tabi'),0,0,Kufa,,
29236,Jbr bin S'aid bin 'Ubaid,جبر بن سعيد,Succ. (Taba' Tabi'),0,0,,,
29237,Jra bin 'Abdul 'Aziz bin Mrwan,جري بن عبد العزيز,Succ. (Taba' Tabi'),0,0,,,
29238,Jnah al-Njar al-Madni Mwla Lyla,جناح النجار,Succ. (Taba' Tabi'),0,0,Medina,,
29239,Jndl al-Sdwsy,جندل السدوسي,Succ. (Taba' Tabi'),0,0,,,
29240,al-Jarwd Shykh ا,لجارود,Succ. (Taba' Tabi'),0,0,Merv,,
29241,Jrwh bin Jmyl Shykh,جروة بن جميل,Succ. (Taba' Tabi'),0,0,Kufa,,
29242,al-Jrah bin al-Dhak ا,لجراح بن الضحاك,Succ. (Taba' Tabi'),0,0,,,
29243,Jbra'iyl bin Ahmr Abu Bakr,جبرائيل بن,Succ. (Taba' Tabi'),0,0,,,
29244,Jkhdb bin Jr'b al-Tyma,جخدب بن,Succ. (Taba' Tabi'),0,0,,,
29245,al-Hasan bin al-Fadl bin al-Hasan ا,لحسن بن الفضل بن الحسن,Succ. (Taba' Tabi'),0,0,Medina,,
29246,al-Hasan bin 'Abdullah al-Qsab ا,لحسن بن عبد الله القصاب,Succ. (Taba' Tabi'),0,0,,,
29247,al-Hasan bin Hkym al-Thqfa Knyt'h ا,لحسن بن حكيم الثقفي,Succ. (Taba' Tabi'),0,0,,,
29248,al-Hasan bin 'Abdur Rahman Shykh ا,لحسن بن عبد الرحمن,Succ. (Taba' Tabi'),0,0,,,
29249,al-Hasan bin al-Husain al-Jhdry ا,لحسن بن الحسين الجحدري,Succ. (Taba' Tabi'),0,0,Kufa,,
29250,al-Hasan bin Kathir al-Ahmsy al-Bjly ا,لحسن بن كثير الأحمسي,Succ. (Taba' Tabi'),0,0,Kufa,,
29251,al-Hasan bin Hatm al-Alhany Hmsy ا,لحسن بن حاتم,Succ. (Taba' Tabi'),0,0,Hims,,
29252,al-Hasan bin Rstm ا,لحسن بن رستم,Succ. (Taba' Tabi'),0,0,al-Syria,,
29253,al-Hasan bin Shqyq bin Muhammad ا,لحسن بن شقيق,Succ. (Taba' Tabi'),0,0,Merv,,
29254,al-Hasan bin al-A'msh al-Qada ا,لحسن بن الأعمش,Succ. (Taba' Tabi'),0,0,Medina,,
29255,al-Hasan bin Atyh al-Wfy ا,لحسن بن عطية العوفي,Succ. (Taba' Tabi'),0,0,,,
29256,al-Hasan bin Yazid al-'Asm al-Quraishi ا,لحسن بن يزيد الأصم,Succ. (Taba' Tabi'),0,0,,,
29257,al-Harith bin 'Amr bin Akha ا,لحارث بن عمرو بن اخي,Succ. (Taba' Tabi'),0,0,,,
29258,al-Harith al-Azdy Shykh ا,لحارث الأزدي,Succ. (Taba' Tabi'),0,0,,,
29259,al-Harith bin Ubaid Mky ا,لحارث بن عبيد مكي,Succ. (Taba' Tabi'),0,0,Makkah,,
29260,al-Harith bin 'Abdur Rahman ا,لحارث بن عبد الرحمن,Succ. (Taba' Tabi'),0,0,,,
29261,al-Harith bin Qays ا,لحارث بن قيس,Succ. (Taba' Tabi'),0,0,,,
29262,Habib bin Jra al-Nhdy,حبيب بن جري,Succ. (Taba' Tabi'),0,0,Kufa,,
29263,Habib bin Slym al-Rqa,حبيب بن سليم الرقي,Succ. (Taba' Tabi'),0,0,al-Raqqa,,
29264,Habib Mwla 'Urwa bin al-Zubair,حبيب مولى عروة,Succ. (Taba' Tabi'),0,622,Medina,,
29265,Habib bin Syarh Shykh,حبيب بن سيارة,Succ. (Taba' Tabi'),0,0,,,
29266,Habib bin Harun,حبيب بن هارون,Succ. (Taba' Tabi'),0,0,,,
29267,Habib Shykh,حبيب,Succ. (Taba' Tabi'),0,0,,,
29268,al-Hakam bin Abi al-Slt al-Mkhzwmy ا,لحكم بن أبي الصلت,Succ. (Taba' Tabi'),0,0,Medina,,
29269,Hameed bin Bakr,حميد بن بكر,Succ. (Taba' Tabi'),0,0,,,
29270,Hameed bin 'Abdullah,حميد بن عبد الله,Succ. (Taba' Tabi'),0,0,,,
29271,Hameed Mwla bina Ajl,حميد مولى,Succ. (Taba' Tabi'),0,0,,,
29272,Hameed bin Suwayd Abu Suwayd,حميد بن سويد,Succ. (Taba' Tabi'),0,0,"Egypt, Egypt",,
29273,Hameed bin Abi al-S'bh,حميد بن أبي الصعبة,Succ. (Taba' Tabi'),0,0,Egypt,,
29274,Hafs bin Abi al-S'bh,حفص بن أبي الصعبة,Succ. (Taba' Tabi'),0,0,,,
29275,Hafs bin Jabir,حفص بن جابر,Succ. (Taba' Tabi'),0,0,,,
29276,Hafs bin 'Umar,حفص بن عمر,Succ. (Taba' Tabi'),0,0,,,
29277,Hafs Shykh,حفص,Succ. (Taba' Tabi'),0,0,,,
29278,Hafs bin Khshkhash Rjl,حفص بن خشخاش,Succ. (Taba' Tabi'),0,0,al-Basra,,
29279,Hafs bin Abi Zynb,حفص بن أبي زينب,Succ. (Taba' Tabi'),0,0,,,
29280,Hafs bin Abi al-S'hba'a Shykh,حفص بن أبي الصهباء,Succ. (Taba' Tabi'),0,0,,,
29281,Hjaj bin al-Hjaj al-Bahla al-Ahwl,حجاج بن الحجاج الباهلي,Succ. (Taba' Tabi'),0,0,al-Basra,,
29282,Hjaj bin Atab al-Bdy Abu,حجاج بن عتاب,Succ. (Taba' Tabi'),0,0,al-Basra,,
29283,Hjaj bin Abi Mkhld Qwlh,حجاج بن أبي مخلد,Succ. (Taba' Tabi'),0,0,,,
29284,Hjaj Shykh,حجاج,Succ. (Taba' Tabi'),0,0,,,
29285,Husayn bin Husayn al-Wasty Abu,حسين بن حسين الواسطي,Succ. (Taba' Tabi'),0,0,al-Wasit,,
29286,Husayn bin 'Uthman bin Bashr,حسين بن عثمان,Succ. (Taba' Tabi'),0,0,Merv,,
29287,Husayn bin Rbah,حسين بن رباح,Succ. (Taba' Tabi'),0,0,,,
29288,Husayn bin Sulaiman al-Rqashy Mwla,حسين بن سليمان,Succ. (Taba' Tabi'),0,0,,,
29289,Husayn Shykh,حسين,Succ. (Taba' Tabi'),0,0,,,
29290,Husayn bin 'Abdullah al-Hbrany,حصين بن عبد الله الحبراني,Succ. (Taba' Tabi'),0,0,,,
29291,Husayn al-Slmy Shykh,حصين السلمي,Succ. (Taba' Tabi'),0,0,,,
29292,Husayn bin 'Abdullah al-Shybany,حصين بن عبد الله الشيباني,Succ. (Taba' Tabi'),0,0,,,
29293,Husayn bin Habib,حصين بن حبيب,Succ. (Taba' Tabi'),0,0,,,
29294,Hkym bin Abi Hkym,حكيم بن أبي حكيم,Succ. (Taba' Tabi'),0,0,,,
29295,Hkym Shykh,حكيم,Succ. (Taba' Tabi'),0,0,,,
29296,Hmad bin Abd al-Smd al-A'ma,حماد بن عبد الصمد,Succ. (Taba' Tabi'),0,0,al-Basra,,
29297,Hmad bin Abi al-Khwar Wald,حماد بن أبي الخوار,Succ. (Taba' Tabi'),0,0,,,
29298,Hmad Shykh,حماد,Succ. (Taba' Tabi'),0,0,,,
29299,Hsan bin Abi Hsan al-Kndy,حسان بن أبي حسان,Succ. (Taba' Tabi'),0,0,,,
29300,Hnzlh Shykh,حنظلة,Succ. (Taba' Tabi'),0,0,,,
29301,Hamza bin 'Abdullah al-Thqfa,حمزة بن عبد الله الثقفي,Succ. (Taba' Tabi'),0,0,,,
29302,Hamza bin 'Abdullah al-Darmy,حمزة بن عبد الله الدارمي,Succ. (Taba' Tabi'),0,0,,,
29303,Hamza bin Hamza Abu Amarh,حمزة بن حمزة,Succ. (Taba' Tabi'),0,0,,,
29304,Hyan bin Salman al-J'fy,حيان بن سلمان,Succ. (Taba' Tabi'),0,0,Kufa,,
29305,Hyan bin Sryj,حيان بن سريج,Succ. (Taba' Tabi'),0,0,,,
29306,Hyan al-A'rj,حيان الأعرج,Succ. (Taba' Tabi'),0,0,,,
29307,Hyan bin Mkharq Abu al-'Ala',حيان بن مخارق,Succ. (Taba' Tabi'),0,0,,,
29308,Harb bin Qatan bin Qabisah,حرب بن قطن,Succ. (Taba' Tabi'),0,0,,24190,14327
29309,Hrb bin Mysrh al-Khrasany,حرب بن ميسرة,Succ. (Taba' Tabi'),0,0,"Khurasan, Khurasan",,
29310,Hrb bin Thabit al-Mnqry Abu,حرب بن ثابت,Succ. (Taba' Tabi'),0,0,al-Basra,,
29311,Hrb Shykh,حرب,Succ. (Taba' Tabi'),0,0,,,
29312,Abu N'amh al-Dwa Asmh Hryth,أبو نعامة العدوي اسمه حريث,Succ. (Taba' Tabi'),0,0,al-Basra,,
29313,Hjr bin Abd al-jabbar bin Wa'il,حجر بن عبد,Succ. (Taba' Tabi'),0,0,,,
29314,Hjr bin Malik al-Kndy,حجر بن مالك,Succ. (Taba' Tabi'),0,0,,,
